window_start_utc,window_end_utc,open_price_usd,close_price_usd,pct_change,outcome,rounds_used
2026-05-26T12:45:00+00:00,2026-05-26T12:49:59.999000+00:00,77098.60,77104.00,+0.0070,UP,1
2026-05-26T12:50:00+00:00,2026-05-26T12:54:59.999000+00:00,77104.00,77111.00,+0.0091,UP,1
2026-05-26T12:55:00+00:00,2026-05-26T12:59:59.999000+00:00,77111.00,77132.50,+0.0279,UP,1
2026-05-26T13:00:00+00:00,2026-05-26T13:04:59.999000+00:00,77132.51,77099.92,-0.0423,DOWN,1
2026-05-26T13:05:00+00:00,2026-05-26T13:09:59.999000+00:00,77099.93,77067.27,-0.0424,DOWN,1
2026-05-26T13:10:00+00:00,2026-05-26T13:14:59.999000+00:00,77067.27,77086.73,+0.0253,UP,1
2026-05-26T13:15:00+00:00,2026-05-26T13:19:59.999000+00:00,77086.74,76954.23,-0.1719,DOWN,1
2026-05-26T13:20:00+00:00,2026-05-26T13:24:59.999000+00:00,76954.23,76879.32,-0.0973,DOWN,1
2026-05-26T13:25:00+00:00,2026-05-26T13:29:59.999000+00:00,76879.31,76798.04,-0.1057,DOWN,1
2026-05-26T13:30:00+00:00,2026-05-26T13:34:59.999000+00:00,76798.05,76799.61,+0.0020,UP,1
2026-05-26T13:35:00+00:00,2026-05-26T13:39:59.999000+00:00,76799.61,76856.75,+0.0744,UP,1
2026-05-26T13:40:00+00:00,2026-05-26T13:44:59.999000+00:00,76856.75,76906.01,+0.0641,UP,1
2026-05-26T13:45:00+00:00,2026-05-26T13:49:59.999000+00:00,76906.01,77364.09,+0.5956,UP,1
2026-05-26T13:50:00+00:00,2026-05-26T13:54:59.999000+00:00,77364.10,77177.49,-0.2412,DOWN,1
2026-05-26T13:55:00+00:00,2026-05-26T13:59:59.999000+00:00,77177.50,77231.56,+0.0700,UP,1
2026-05-26T14:00:00+00:00,2026-05-26T14:04:59.999000+00:00,77231.56,77188.00,-0.0564,DOWN,1
2026-05-26T14:05:00+00:00,2026-05-26T14:09:59.999000+00:00,77188.01,77245.67,+0.0747,UP,1
2026-05-26T14:10:00+00:00,2026-05-26T14:14:59.999000+00:00,77245.67,77411.67,+0.2149,UP,1
2026-05-26T14:15:00+00:00,2026-05-26T14:19:59.999000+00:00,77411.67,77526.33,+0.1481,UP,1
2026-05-26T14:20:00+00:00,2026-05-26T14:24:59.999000+00:00,77526.33,77788.36,+0.3380,UP,1
2026-05-26T14:25:00+00:00,2026-05-26T14:29:59.999000+00:00,77788.36,77958.40,+0.2186,UP,1
2026-05-26T14:30:00+00:00,2026-05-26T14:34:59.999000+00:00,77958.40,77562.25,-0.5082,DOWN,1
2026-05-26T14:35:00+00:00,2026-05-26T14:39:59.999000+00:00,77562.25,76933.40,-0.8108,DOWN,1
2026-05-26T14:40:00+00:00,2026-05-26T14:44:59.999000+00:00,76933.39,76820.00,-0.1474,DOWN,1
2026-05-26T14:45:00+00:00,2026-05-26T14:49:59.999000+00:00,76820.01,76978.01,+0.2057,UP,1
2026-05-26T14:50:00+00:00,2026-05-26T14:54:59.999000+00:00,76978.00,77092.11,+0.1482,UP,1
2026-05-26T14:55:00+00:00,2026-05-26T14:59:59.999000+00:00,77092.12,76908.01,-0.2388,DOWN,1
2026-05-26T15:00:00+00:00,2026-05-26T15:04:59.999000+00:00,76908.01,76844.02,-0.0832,DOWN,1
2026-05-26T15:05:00+00:00,2026-05-26T15:09:59.999000+00:00,76844.02,76877.03,+0.0430,UP,1
2026-05-26T15:10:00+00:00,2026-05-26T15:14:59.999000+00:00,76877.02,76969.64,+0.1205,UP,1
2026-05-26T15:15:00+00:00,2026-05-26T15:19:59.999000+00:00,76969.64,76857.96,-0.1451,DOWN,1
2026-05-26T15:20:00+00:00,2026-05-26T15:24:59.999000+00:00,76857.96,76706.42,-0.1972,DOWN,1
2026-05-26T15:25:00+00:00,2026-05-26T15:29:59.999000+00:00,76706.42,76644.00,-0.0814,DOWN,1
2026-05-26T15:30:00+00:00,2026-05-26T15:34:59.999000+00:00,76644.01,76435.21,-0.2724,DOWN,1
